SMC	SWITCH	SWITCH	SWITCH	LAN SWITCH
COMPLIANCE	GRC-SOFTWARE	GRC-SOFTWARE	ENTPRISE-APP	COMPLIANCE SOFTWARE
LEXMARK	DT-MATRX-B/W	DT-MATRX-B/W	DOT-MATRIX	DOT MATRIX PRINTER
GATEWAY	TOWER	TOWER	TOWER	SERVER
PERFORM-SYS	SERVER-MGMT	SERVER-MGMT	SYSTEMS-MGMT	SERVER MANAGEMENT TOOLS
ARICIA	INET-ACCESS	 	 	INTERNET ACCESS PROVIDER
CISCO	PBX-EXT	 	 	PLANNED PBX EXTENSIONS
ORACLE	ORACLE9I	APP-SERVER	WORKFLOW	APPLICATION SERVER SOFTWARE
ODESTA	DBMS	DBMS	DBMS-BI	DATABASE MANAGEMENT
FISERV	INSURANCE	INSURANCE	IND-SPECIFIC	INSURANCE
VERIZON	INET-ACCESS	 	 	INTERNET ACCESS PROVIDER
FUJITSU	7-500/40	7-500/40	7-500	SERVER
IBM	ROUTER	ROUTER	ROUTER	ROUTER
NORTEL	HUB	HUB	HUB	LAN INTELLIGENT HUB
CNCPT-OMEGA	MAIL/CONCEPT	GROUPWARE	OFFICE	GROUPWARE SOFTWARE
JBA-PRESYS	ACCOUNTING	ACCOUNTING	ENTPRISE-APP	ACCOUNTING
XEROX	PRINTER-B/W	PRINTER-B/W	PRINTER	PRINTER
LINKSYS	NAS	DISK-NAS	NAS	NETWORK ATTACHED STORAGE
OTHER	BACKUP	BACKUP	STORAGE-MGMT	BACKUP AND RECOVERY
EVOICE-RECP	VIRTUAL-PBX	VIRTUAL-PBX	VIRTUAL-PBX	VIRTUAL PBX
CENTRINITY	GROUPWARE	GROUPWARE	OFFICE	GROUPWARE SOFTWARE
FUJITSU	MILENIUM-415	GS-400	MILLENNIUM	IBM/PCM MAINFRAME
GOOGLE	READER	GOOGLEAPPS	SAAS	SOFTWARE AS A SERVICE
COUGAR-MTN	PAYROLL	HUMAN-RES	ENTPRISE-APP	HUMAN RESOURCES MANAGEMENT
SYMANTEC	STRFNDTN-STR	STORAGE-MGMT	STORAGE-MGMT	STORAGE MANAGEMENT
CA	INOCULAN	ANTI-VIRUS	SECURITY-MGT	ANTI-VIRUS
CENTURA	WEBDEVELOPER	DEV-TOOL	APPL-MGMT	APPL DEVELOPMENT TOOLS
SIEMENS	DT-MATRX-B/W	DT-MATRX-B/W	DOT-MATRIX	DOT MATRIX PRINTER
MAGEC-SOFT	DEV-TOOL	DEV-TOOL	APPL-MGMT	APPL DEVELOPMENT TOOLS
POWER-SYS	UPS	 	 	POWER SYSTEM
EXPONENTIAL	INET-ACCESS	 	 	INTERNET ACCESS PROVIDER
TRIAD-UTRAD	UPS	 	 	POWER SYSTEM
UNSPECIFIED	INKJET	INKJET	INKJET	INK JET PRINTER
IBM	GRC-SOFTWARE	GRC-SOFTWARE	ENTPRISE-APP	COMPLIANCE SOFTWARE
MIRATEL	PBX	PBX	PBX	PRIVATE BRANCH EXCHANGE
DELOITTE	SERVICES	 	 	SERVICES VENDOR
OTHER	SAN	SAN	SAN	STORAGE AREA NETWORK
QWEST	T1	T1	T1	T1 LINE
ATLAS-ENRGY	UPS	 	 	POWER SYSTEM
TELIA	FRAME-RELAY	FRAME-RELAY	FRAME-RELAY	FRAME RELAY SERVICE
TREND-MICRO	OFFICESCAN	ANTI-VIRUS	SECURITY-MGT	ANTI-VIRUS
UNISYS	MIGHTYFRAME	MIGHTYFRAME	MIGHTYFRAME	SERVER
HDS	PILOT-36	PILOT-P7	PILOT	IBM/PCM MAINFRAME
REAL-NETWRK	MULTIMEDIA	MULTIMEDIA	WORKSTATION	MULTIMEDIA
CA	ARCSOLO	BACKUP	STORAGE-MGMT	BACKUP AND RECOVERY
SUN	BLADE-1000	SUN-BLADE	SUN-BLADE	HIGH PERFORMANCE WORKSTATION
UNSPECIFIED	T1	T1	T1	T1 LINE
EXIDY	PRINTER	PRINTER	PRINTER	PRINTER
MINCOM	ACCOUNTING	ACCOUNTING	ENTPRISE-APP	ACCOUNTING
ANDREW	NETWORK-MGMT	NETWORK-MGMT	SYSTEMS-MGMT	NETWORK MANAGEMENT TOOLS
MRCHNT-TECH	RETAIL	RETAIL	IND-SPECIFIC	RETAIL
SASKTEL	UNSPECIFIED	UNSPECIFIED	UNSPECIFIED	UNSPECIFIED LEASED LINE
KOM-NETWORK	OPTI-FILE	STORAGE-MGMT	STORAGE-MGMT	STORAGE MANAGEMENT
OPEN-LDAP	OPEN-LDAP	DIR-SERVICES	SYSTEMS-MGMT	DIRECTORY SERVICES
CENTRAL-PT	SERVER-MGMT	SERVER-MGMT	SYSTEMS-MGMT	SERVER MANAGEMENT TOOLS
STENTOR	UNSPECIFIED	UNSPECIFIED	UNSPECIFIED	UNSPECIFIED LEASED LINE
BT	FRAME-RELAY	FRAME-RELAY	FRAME-RELAY	FRAME RELAY SERVICE
ICS-SOFT	HR	HUMAN-RES	ENTPRISE-APP	HUMAN RESOURCES MANAGEMENT
TELECOM-ITA	INET-ACCESS	 	 	INTERNET ACCESS PROVIDER
ARES	ARCOLE-RH	HUMAN-RES	ENTPRISE-APP	HUMAN RESOURCES MANAGEMENT
MACROMEDIA	MULTIMEDIA	MULTIMEDIA	WORKSTATION	MULTIMEDIA
INTUITIVE	HUMAN-RES	HUMAN-RES	ENTPRISE-APP	HUMAN RESOURCES MANAGEMENT
SBC	WAN-OPT-SRV	WAN-OPT-SRV	WAN-OPT-SRV	WAN OPTIMIZATION SERVICES
FORTEX	DEV-TOOL	DEV-TOOL	APPL-MGMT	APPL DEVELOPMENT TOOLS
UNSPECIFIED	RISC-WRKSTN	WORKSTATION	WORKSTATION	HIGH PERFORMANCE WORKSTATION
INFO-BUILD	FOCUS	DBMS	DBMS-BI	DATABASE MANAGEMENT
VOIP-TELE	VOICEOVERIP	VOICEOVERIP	VOICEOVERIP	VOICE OVER INTERNET
EMC	DATA-CENTER	DATA-CENTER	ENTPRISE-MGT	ENTERPRISE MANAGEMENT
OCE	2240	PRODUCTION	PRODUCTION	PRODUCTION PRINTER
SWINTEC	PRINTER	PRINTER	PRINTER	PRINTER
DATA-SYS	CRM	CRM/SFA	ENTPRISE-APP	CUSTOMER/SALESFORCE MGMT
BELL-CANADA	LONG-DIST	LONG-DIST	LONG-DIST	LONG DISTANCE CARRIER
KPN	PBX-EXT	 	 	PLANNED PBX EXTENSIONS
CR-COMP	LAN-CARD	 	 	LAN INTERFACE CARD
NUVOX	UNSPECIFIED	UNSPECIFIED	UNSPECIFIED	UNSPECIFIED LEASED LINE
EXCL-MERIDN	NAS	DISK-NAS	NAS	NETWORK ATTACHED STORAGE
ENCORE	MIDRANGE	MIDRANGE	MIDRANGE	SERVER
FINNET	ATM-SERV	ATM-SERV	ATM-SERV	ATM SERVICE
IBM	6262	PRODUCTION	PRODUCTION	PRODUCTION PRINTER
SDI	SUPEREPAT	STORAGE-MGMT	STORAGE-MGMT	STORAGE MANAGEMENT
CONVERGYS	ISDN-BRI	ISDN-BRI	ISDN-BRI	ISDN-BRI LINE
LIBERTELVOD	CELLULAR	CELLULAR	CELLULAR	CELLULAR PROVIDER
NUMERICABLE	INET-ACCESS	 	 	INTERNET ACCESS PROVIDER
HP	NETSERVER	NETSERVER	NETSERVER	SERVER
INVITEL	SONET-SERV	SONET-SERV	SONET-SERV	SONET SERVICE
UNSPECIFIED	PROP-SERVER	UNSPEC-SVR	SERVER	SERVER
SYMANTEC	BACKUP-EXEC	BACKUP	STORAGE-MGMT	BACKUP AND RECOVERY
RAD-DATA	LAN-CARD	 	 	LAN INTERFACE CARD
CYBERPOWER	UPS	 	 	POWER SYSTEM
AT&T	UPS	 	 	POWER SYSTEM
HP	UNIX	UNIX	UNIX	OPERATING SYSTEM
PROFITKEY	ACCOUNTING	ACCOUNTING	ENTPRISE-APP	ACCOUNTING
UNISYS	DISK	DISK-DRIVE	DISK	DISK DRIVE
CACI	SERVER-MGMT	SERVER-MGMT	SYSTEMS-MGMT	SERVER MANAGEMENT TOOLS
OTHER	T3	T3	T3	T3 LINE
ADP	HUMAN-RES	HUMAN-RES	ENTPRISE-APP	HUMAN RESOURCES MANAGEMENT
MCI	SONET-SERV	SONET-SERV	SONET-SERV	SONET SERVICE
IBM	9672-54	9672-G3	9672	IBM/PCM MAINFRAME
MITEL	MAINT	MAINT	MAINT	MAINTENANCE VENDOR
COTENG	UNIFIED-COMM	UNIFIED-COMM	UNIFIED-COMM	UNIFIED COMMUNICATIONS SRVS
DIALOGIC	DEV-TOOL	DEV-TOOL	APPL-MGMT	APPL DEVELOPMENT TOOLS
SMITH-ABBOT	ACCOUNTING	ACCOUNTING	ENTPRISE-APP	ACCOUNTING
SONY	NAS	DISK-NAS	NAS	NETWORK ATTACHED STORAGE
NOPRESSEHAU	INET-ACCESS	 	 	INTERNET ACCESS PROVIDER
SUN	TAPE-LIBRARY	TAPE-LIBRARY	TAPE	TAPE LIBRARY
IBM	SYSTEM38	SYSTEM38	SYSTEM/3X	SERVER
IBM	9672-R56	9672-G5	9672	IBM/PCM MAINFRAME
YES-SFTWR	GRAPH-DESIGN	GRAPH-DESIGN	WORKSTATION	GRAPHIC DESIGN
OTHER	PRINTER	PRINTER	PRINTER	PRINTER
EMBARQ	CELLULAR	CELLULAR	CELLULAR	CELLULAR PROVIDER
BEI	STORAGE-MGMT	STORAGE-MGMT	STORAGE-MGMT	STORAGE MANAGEMENT
4TH-SHIFT	ACCOUNTING	ACCOUNTING	ENTPRISE-APP	ACCOUNTING
CESKY-TELE	FRAME-RELAY	FRAME-RELAY	FRAME-RELAY	FRAME RELAY SERVICE
VIDEONETWRK	INET-ACCESS	 	 	INTERNET ACCESS PROVIDER
BORLAND	DBMS	DBMS	DBMS-BI	DATABASE MANAGEMENT
ZENITH	LAN-CARD	 	 	LAN INTERFACE CARD
SEDIT-MAR	PERSONNEL	HUMAN-RES	ENTPRISE-APP	HUMAN RESOURCES MANAGEMENT
EMC	STORAGE-MGMT	STORAGE-MGMT	STORAGE-MGMT	STORAGE MANAGEMENT
TRUESERVER	INET-ACCESS	 	 	INTERNET ACCESS PROVIDER
ARCHE-TECH	PRINTER	PRINTER	PRINTER	PRINTER
CISCO	NETWORK-MGMT	NETWORK-MGMT	SYSTEMS-MGMT	NETWORK MANAGEMENT TOOLS
INNONET	INET-ACCESS	 	 	INTERNET ACCESS PROVIDER
OSTRYGMBH	INET-ACCESS	 	 	INTERNET ACCESS PROVIDER
CITRIX	METAFRAME	SVR-COMPUTNG	SYSTEMS-MGMT	SERVER COMPUTING
ORACLE	COLLABORATIV	COLLABORATIV	ENTPRISE-APP	COLLABORATIVE/INTEGRATION SO
AT&T	VPN	VPN	VPN	VIRTUAL PRIVATE NETWORK
NEC	LAN-CARD	 	 	LAN INTERFACE CARD
EMC	AV	AVIION	AVIION	HIGH PERFORMANCE WORKSTATION
WHITE-BOX	INTEL-WRKSTN	WORKSTATION	WORKSTATION	HIGH PERFORMANCE WORKSTATION
GRISOFT	AVGANTIVIURS	ANTI-VIRUS	SECURITY-MGT	ANTI-VIRUS
FUJITSU	RXI300	PRIMERGY-RX	PRIMERGY	SERVER
OTHER	ENTPRISE-MGT	ENTPRISE-MGT	ENTPRISE-MGT	ENTERPRISE MANAGEMENT
IBM	X-450	XSERIES-4XX	XSERIES	SERVER
DATA-PRINT	PRINTER-B/W	PRINTER-B/W	PRINTER	PRINTER
PANASONIC	INKJET	INKJET	INKJET	INK JET PRINTER
SYMANTEC	NETBACKUP	BACKUP	STORAGE-MGMT	BACKUP AND RECOVERY
NETBENEFIT	INET-ACCESS	 	 	INTERNET ACCESS PROVIDER
EPICOR	HR	HUMAN-RES	ENTPRISE-APP	HUMAN RESOURCES MANAGEMENT
MICROLINE	DBMS	DBMS	DBMS-BI	DATABASE MANAGEMENT
IBM	9672-Z37	9672-G6	9672	IBM/PCM MAINFRAME
LUCENT	UNSPECIFIED	UNSPECIFIED	UNSPECIFIED	UNSPECIFIED LEASED LINE
UNISYS	MAINT	MAINT	MAINT	MAINTENANCE VENDOR
CWNET	INET-ACCESS	 	 	INTERNET ACCESS PROVIDER
SUN	ULTRA-5	ULTRA-WRKSTN	ULTRA-WRKSTN	HIGH PERFORMANCE WORKSTATION
MODCOMP	UPS	 	 	POWER SYSTEM
COMPAREX	PRINTER-B/W	PRINTER-B/W	PRINTER	PRINTER
UNISYS	UPS-3PHASE	 	 	POWER SYSTEM
INFOTEC	MULTIFUN	MULTIFUN	MULTI	MULTIFUNCTION PRINTER
4TH-SHIFT	MANUFACTURE	MANUFACTURER	IND-SPECIFIC	MANUFACTURING
GEC	PRINTER-B/W	PRINTER-B/W	PRINTER	PRINTER
FUJITSU	PRIMPWR-450	PRIMEPOWER	PRIMEPOWER	SERVER
WINDONET	INET-ACCESS	 	 	INTERNET ACCESS PROVIDER
EAGLE-TELE	PBX-EXT	 	 	PLANNED PBX EXTENSIONS
BESPOKE	FINANCIALS	ACCOUNTING	ENTPRISE-APP	ACCOUNTING
SAVIN	LASER-B/W	LASER-B/W	LASER	DESKTOP LASER PRINTER
NETCONNEX	INET-ACCESS	 	 	INTERNET ACCESS PROVIDER
TRANSIT-TEL	CELLULAR	CELLULAR	CELLULAR	CELLULAR PROVIDER
FUJITSU	MILENIUM-545	GS-500	MILLENNIUM	IBM/PCM MAINFRAME
INFORGLOBAL	VISUAL-FIN	ACCOUNTING	ENTPRISE-APP	ACCOUNTING
VISIBILITY	SUPPLY-CHAIN	SUPPLY-CHAIN	ENTPRISE-APP	SUPPLY CHAIN MANAGEMENT
TADIRAN	MAINT	MAINT	MAINT	MAINTENANCE VENDOR
THIRDBRIGAD	IDS	INTRSN-DECT	SECURITY-MGT	INTRUSION DETECTION SOFTWARE
CISCO	CISCOWORKS	ENTPRISE-MGT	ENTPRISE-MGT	ENTERPRISE MANAGEMENT
KYOCERA	MULTIFUN	MULTIFUN	MULTI	MULTIFUNCTION PRINTER
BULL	NOVA-6080	NOVA-6000	NOVASCALE	SERVER
PEOPLESOFT	ENT-CRM	CRM/SFA	ENTPRISE-APP	CUSTOMER/SALESFORCE MGMT
ABRA	CRM	CRM/SFA	ENTPRISE-APP	CUSTOMER/SALESFORCE MGMT
SENTINL-COM	MAINT	MAINT	MAINT	MAINTENANCE VENDOR
AXIANS	VOICEOVERIP	VOICEOVERIP	VOICEOVERIP	VOICE OVER INTERNET
STEEB	SPW	HUMAN-RES	ENTPRISE-APP	HUMAN RESOURCES MANAGEMENT
ATEMPO	TIME-NAV-B/R	BACKUP	STORAGE-MGMT	BACKUP AND RECOVERY
ORACLE	SAAS	SAAS	SAAS	SOFTWARE AS A SERVICE
PERVASIVE	RTRIEVE	BI	DBMS-BI	BUSINESS INTELLIGENCE
AVAYA	DEFINITY-3	PBX	PBX	PRIVATE BRANCH EXCHANGE
PROMODIGITL	INET-ACCESS	 	 	INTERNET ACCESS PROVIDER
QWEST	ISDN-PRI	ISDN-PRI	ISDN-PRI	ISDN-PRI LINE
IBM	CMAS	ACCOUNTING	ENTPRISE-APP	ACCOUNTING
FUJITSU	MILENIUM-722	GS-700	MILLENNIUM	IBM/PCM MAINFRAME
IBM	SYSTEM36	SYSTEM36	SYSTEM/3X	SERVER
UNISYS	DESKTOP	DESKTOP	PC	PERSONAL DESKTOP COMPUTER
MERCURY	ENTPRISE-MGT	ENTPRISE-MGT	ENTPRISE-MGT	ENTERPRISE MANAGEMENT
OTHER	CAD/CAM	CAD/CAM	WORKSTATION	CAD/CAM
VITRIA	EAI	EAI	WORKFLOW	ENTERPRISE APPL INTEGRATION
IBM	9672-R53	9672-R3	9672	IBM/PCM MAINFRAME
IBM	RATIONAL	SOFT-CONFIG	APPL-MGMT	SOFTWARE CONFIGURATION MGMT
FUJITSU	MILENIUM-735	GS-700	MILLENNIUM	IBM/PCM MAINFRAME
IBM	9672	9672	9672	IBM/PCM MAINFRAME
UNSPECIFIED	ISDN-PRI	ISDN-PRI	ISDN-PRI	ISDN-PRI LINE
KDD	ATM-SERV	ATM-SERV	ATM-SERV	ATM SERVICE
OTHER	ISDN	ISDN	ISDN	ISDN LINE
PROFITKEY	MANUFACTURE	MANUFACTURER	IND-SPECIFIC	MANUFACTURING
ESATNET	INET-ACCESS	 	 	INTERNET ACCESS PROVIDER
APACHE	APP-SERVER	APP-SERVER	WORKFLOW	APPLICATION SERVER SOFTWARE
SUN-SOFT	DEV-TOOL	DEV-TOOL	APPL-MGMT	APPL DEVELOPMENT TOOLS
NCR	S-SERIES	S-SERIES	S-SERIES	SERVER
PROGRESS	RESULTS	BI	DBMS-BI	BUSINESS INTELLIGENCE
HP	DS10	ALPHASTATION	ALPHASTATION	HIGH PERFORMANCE WORKSTATION
MICRON	NETFRAME	NETFRAME	NETFRAME	SERVER
ENCAD	PRINTER	PRINTER	PRINTER	PRINTER
COMPILER	COBOL	DEV-TOOL	APPL-MGMT	APPL DEVELOPMENT TOOLS
CEECOM	SUPPLY-CHAIN	SUPPLY-CHAIN	ENTPRISE-APP	SUPPLY CHAIN MANAGEMENT
GOLDSTAR	PBX-EXT	 	 	PLANNED PBX EXTENSIONS
EFRONT	EFRONT/CRM	CRM/SFA	ENTPRISE-APP	CUSTOMER/SALESFORCE MGMT
ONEGMBH	INET-ACCESS	 	 	INTERNET ACCESS PROVIDER
IBM	OPDISK	DISK-OPTICAL	DISK	OPTICAL DISK DRIVE
ORACLE	ORACLE	DBMS	DBMS-BI	DATABASE MANAGEMENT
HP	VAXSTATION	VAXSTATION	VAXSTATION	HIGH PERFORMANCE WORKSTATION
UNISYS	ES3040	ES3000	ES3000	SERVER
IBM	MULTIPRISE	MULITPRISE3K	MULTIPRISE	IBM/PCM MAINFRAME
PACKAGE	HR	HUMAN-RES	ENTPRISE-APP	HUMAN RESOURCES MANAGEMENT
ESSENT	UNSPECIFIED	UNSPECIFIED	UNSPECIFIED	UNSPECIFIED LEASED LINE
ORACLE	ORACLE-9I	DBMS	DBMS-BI	DATABASE MANAGEMENT
HP	DBMS	DBMS	DBMS-BI	DATABASE MANAGEMENT
AT&T	ETHERNET	ETHERNET	ETHERNET	ETHERNET NETWORK
TRIPP-LITE	UPS	 	 	POWER SYSTEM
EDISON	SERVER-MGMT	SERVER-MGMT	SYSTEMS-MGMT	SERVER MANAGEMENT TOOLS
SYS-DYNAMIC	BMS	ACCOUNTING	ENTPRISE-APP	ACCOUNTING
CERICOR	CDA5000	CAD/CAM	WORKSTATION	CAD/CAM
VERIZON	MAINT	MAINT	MAINT	MAINTENANCE VENDOR
EXACT-SOFT	MAX-HR	HUMAN-RES	ENTPRISE-APP	HUMAN RESOURCES MANAGEMENT
MULTITASK	FLEXX	ACCOUNTING	ENTPRISE-APP	ACCOUNTING
IBM	DMAS	ACCOUNTING	ENTPRISE-APP	ACCOUNTING
CYBEREX	UPS	 	 	POWER SYSTEM
HP	S7000	INTEGRITY	INTEGRITY	SERVER
INTENTIA	SUPPLY-CHAIN	SUPPLY-CHAIN	ENTPRISE-APP	SUPPLY CHAIN MANAGEMENT
CITIZEN	PRINTER-B/W	PRINTER-B/W	PRINTER	PRINTER
GOOGLE	GOOG-411	GOOGLEAPPS	SAAS	SOFTWARE AS A SERVICE
SPRINT	VPN	VPN	VPN	VIRTUAL PRIVATE NETWORK
NORTHSTAR	ACCOUNTING	ACCOUNTING	ENTPRISE-APP	ACCOUNTING
DATA-PROD	PRODUCTION	PRODUCTION	PRODUCTION	PRODUCTION PRINTER
SUN	ENTPR-450	ENTERPRISE	ENTERPRISE	SERVER
RACAL-DATA	LAN-CARD	 	 	LAN INTERFACE CARD
UNISYS	IX	IX	CLEARPATH	SERVER
WITNESS	CRM	CRM/SFA	ENTPRISE-APP	CUSTOMER/SALESFORCE MGMT
GTS	UNSPECIFIED	UNSPECIFIED	UNSPECIFIED	UNSPECIFIED LEASED LINE
COMPILER	ASP	DEV-TOOL	APPL-MGMT	APPL DEVELOPMENT TOOLS
COM-VISION	MAINT	MAINT	MAINT	MAINTENANCE VENDOR
OTHER	PORTABLE	PORTABLE	PC	PERSONAL PORTABLE COMPUTER
FACIT	LASER-B/W	LASER-B/W	LASER	DESKTOP LASER PRINTER
NETIFICE	INET-ACCESS	 	 	INTERNET ACCESS PROVIDER
CAPTARIS	UNIFIED-COMM	UNIFIED-COMM	UNIFIED-COMM	UNIFIED COMMUNICATIONS SRVS
GE	MAINT	MAINT	MAINT	MAINTENANCE VENDOR
TELNOR	ATM-SERV	ATM-SERV	ATM-SERV	ATM SERVICE
IBM	PERSONAL-SVC	GROUPWARE	OFFICE	GROUPWARE SOFTWARE
GUPTA	SQL-NETWORK	DEV-TOOL	APPL-MGMT	APPL DEVELOPMENT TOOLS
INTUIT	SCM	SUPPLY-CHAIN	ENTPRISE-APP	SUPPLY CHAIN MANAGEMENT
IBM	AS/400	AS/400	AS/400	SERVER
IBM	2000	2000	2000	IBM/PCM MAINFRAME
EUSKALTEL	VOICEPROVIDE	LONG-DIST	LONG-DIST	LONG DISTANCE CARRIER
COMPILER	PYTHON	DEV-TOOL	APPL-MGMT	APPL DEVELOPMENT TOOLS
NOVELL	BORDER-MGR	FIREWALL	SECURITY-MGT	FIREWALL SOFTWARE
SIEMENS	PBX	PBX	PBX	PRIVATE BRANCH EXCHANGE
CABLE&WIRE	WAN-OPT-SRV	WAN-OPT-SRV	WAN-OPT-SRV	WAN OPTIMIZATION SERVICES
HP	LASER-COLOR	LASER-COLOR	LASER	DESKTOP LASER PRINTER
INNOVATELEC	UPS	 	 	POWER SYSTEM
SILVAR-LSCO	SDS	CAD/CAM	WORKSTATION	CAD/CAM
FUJITSU	THIN-CLIENT	THIN-CLIENT	THIN-CLIENT	THINCLIENT-WBT-NC-XTERMINAL
SGI	CHALLENGE	CHALLENGE	CHALLENGE	HIGH PERFORMANCE WORKSTATION
AVENSYS	INET-ACCESS	 	 	INTERNET ACCESS PROVIDER
GENESYS	HR	HUMAN-RES	ENTPRISE-APP	HUMAN RESOURCES MANAGEMENT
KOM-NETWORK	OPTI-SERVER	STORAGE-MGMT	STORAGE-MGMT	STORAGE MANAGEMENT
