FLEXI-INTL	FINANCIALS	ACCOUNTING	ENTPRISE-APP	ACCOUNTING
OLIVETTI	INKJET-B/W	INKJET-B/W	INKJET	INK JET PRINTER
CONCURRENT	DISK	DISK-DRIVE	DISK	DISK DRIVE
SET	PRINTER	PRINTER	PRINTER	PRINTER
BULL	PL220R	PL200	ESCALA	SERVER
CANON	LASER-COLOR	LASER-COLOR	LASER	DESKTOP LASER PRINTER
AKHTER	INET-ACCESS	 	 	INTERNET ACCESS PROVIDER
OTHER	ROUTER	ROUTER	ROUTER	ROUTER
INTERCONECT	INET-ACCESS	 	 	INTERNET ACCESS PROVIDER
SPIDER	ROUTER	ROUTER	ROUTER	ROUTER
MAN-OBJECTS	EAI	EAI	WORKFLOW	ENTERPRISE APPL INTEGRATION
EMPRESS	EMPRESS	DBMS	DBMS-BI	DATABASE MANAGEMENT
INTER-TEL	KEY-SYSTEM	KEY-SYSTEM	KEY-SYSTEM	KEY/NON-PBX SYSTEM
CORTELCO	PBX-EXT	 	 	PLANNED PBX EXTENSIONS
NCR	6470	PRODUCTION	PRODUCTION	PRODUCTION PRINTER
TIM-BRASIL	UNSPECIFIED	UNSPECIFIED	UNSPECIFIED	UNSPECIFIED LEASED LINE
MICROAGE	PURCH-SOURCE	 	 	MICROAGE
AT&T	DESKTOP	DESKTOP	PC	PERSONAL DESKTOP COMPUTER
PROFITKEY	RRM-FIN	ACCOUNTING	ENTPRISE-APP	ACCOUNTING
GPS	UPS	 	 	POWER SYSTEM
SILVERSERVE	INET-ACCESS	 	 	INTERNET ACCESS PROVIDER
CLEARPATH	MPLS	MPLS	MPLS	MULTIPROTCOL LABEL SWITCHING
MICROSOFT	PORTAL	PORTAL-MGMT	WORKFLOW	PORTAL MANAGEMENT
IBM	RACF	ACCESS-MGMT	SECURITY-MGT	ACCESS MANAGEMENT
MICROSOFT	MAIL	GROUPWARE	OFFICE	GROUPWARE SOFTWARE
NEXT	INKJET	INKJET	INKJET	INK JET PRINTER
LOTUS	DOMINO-GO	APP-SERVER	WORKFLOW	APPLICATION SERVER SOFTWARE
TELCO	MAINT	MAINT	MAINT	MAINTENANCE VENDOR
EPICOR	PLATINUM-HR	HUMAN-RES	ENTPRISE-APP	HUMAN RESOURCES MANAGEMENT
CABLE&WIRE	VOICEPROVIDE	LONG-DIST	LONG-DIST	LONG DISTANCE CARRIER
VIGNETTE	FRONTOFFICE	CRM/SFA	ENTPRISE-APP	CUSTOMER/SALESFORCE MGMT
BULL	PORTABLE	PORTABLE	PC	PERSONAL PORTABLE COMPUTER
GEN-DATACOM	NETWORK-MGMT	NETWORK-MGMT	SYSTEMS-MGMT	NETWORK MANAGEMENT TOOLS
SBT	MANUFACTURE	MANUFACTURER	IND-SPECIFIC	MANUFACTURING
HARRIS	PBX	PBX	PBX	PRIVATE BRANCH EXCHANGE
IBM	SAN	SAN	SAN	STORAGE AREA NETWORK
AVECHO	INET-ACCESS	 	 	INTERNET ACCESS PROVIDER
PRAGER	INET-ACCESS	 	 	INTERNET ACCESS PROVIDER
QUANTUM	NAS	DISK-NAS	NAS	NETWORK ATTACHED STORAGE
DELL	SERVER	UNSPEC-SVR	UNSPEC-SVR	SERVER
VERIZON	ETHERNET	ETHERNET	ETHERNET	ETHERNET NETWORK
IBM	MMAS	ACCOUNTING	ENTPRISE-APP	ACCOUNTING
MICRON	PURCH-SOURCE	 	 	MICRON ELECTRONICS INC
TOSHIBA	KEY-SYSTEM	KEY-SYSTEM	KEY-SYSTEM	KEY/NON-PBX SYSTEM
HP	9000-300	9000-300	9000	HIGH PERFORMANCE WORKSTATION
SYMANTEC	COMCNTRL-AVL	ACCESS-MGMT	SECURITY-MGT	ACCESS MANAGEMENT
UNISYS	S/120	S/120	S/120	SERVER
AT&T	MAINT	MAINT	MAINT	MAINTENANCE VENDOR
SAP	MEDICAL	MEDICAL	IND-SPECIFIC	MEDICAL/HOSPITAL
MICROLINE	DMS-III	DBMS	DBMS-BI	DATABASE MANAGEMENT
MATRA	LONG-DIST	LONG-DIST	LONG-DIST	LONG DISTANCE CARRIER
IBM	X-335	XSERIES-3XX	XSERIES	SERVER
OBLIX	CORE-ID	IDENTITY-MGT	SECURITY-MGT	IDENTITY MANAGEMENT
INECOM	PBX-EXT	 	 	PLANNED PBX EXTENSIONS
IBM	9672-R31	9672-R1	9672	IBM/PCM MAINFRAME
OTHER	INTEL-WRKSTN	WORKSTATION	WORKSTATION	HIGH PERFORMANCE WORKSTATION
RISGMBH	INET-ACCESS	 	 	INTERNET ACCESS PROVIDER
XO	DIAL	DIAL	DIAL	DIAL-UP LINE
NEXTEL	CELLULAR	CELLULAR	CELLULAR	CELLULAR PROVIDER
ACER	G300	ALTOS	ALTOS	SERVER
HP	3000-900	3000-90	3000	SERVER
UNISYS	ARIES-410	ARIES	ES7000	SERVER
APPLE	DT-MATRX-B/W	DT-MATRX-B/W	DOT-MATRIX	DOT MATRIX PRINTER
HP	ALPHASRV-SC	ALPHASRV-SC	ALPHASERVER	SERVER
CIE	DESKTOP	DESKTOP	PC	PERSONAL DESKTOP COMPUTER
DNA	FORTRAN/1130	DEV-TOOL	APPL-MGMT	APPL DEVELOPMENT TOOLS
MICROSOFT	W2003-SERVER	W2003-SERVER	W2003-SERVER	LAN OPERATING SYSTEM
DECISION	6908	PRODUCTION	PRODUCTION	PRODUCTION PRINTER
IN-HOUSE	APPLICN-SVR	APP-SERVER	WORKFLOW	APPLICATION SERVER SOFTWARE
BEA-SYSTEMS	NETWORK-MGMT	NETWORK-MGMT	SYSTEMS-MGMT	NETWORK MANAGEMENT TOOLS
SANYO	PRINTER	PRINTER	PRINTER	PRINTER
STORAGETEK	MAINT	MAINT	MAINT	MAINTENANCE VENDOR
ZZYZX	SAN	SAN	SAN	STORAGE AREA NETWORK
SAVIN	MULTIFUN-COL	MULTIFUN-COL	MULTI	MULTIFUNCTION PRINTER
EMC	COPY-CROSS	BACKUP	STORAGE-MGMT	BACKUP AND RECOVERY
HDS	GX	GX/6000	GX	IBM/PCM MAINFRAME
SPRINT	MAINT	MAINT	MAINT	MAINTENANCE VENDOR
UNISYS	XE	XE	XE	SERVER
PARADYNE	PRINTER	PRINTER	PRINTER	PRINTER
FUJITSU	RAID	DISK-RAID	DISK	DISK RAID ARRAY
WHITE-BOX	PORTABLE	PORTABLE	PC	PERSONAL PORTABLE COMPUTER
AMSTRAD	PRINTER	PRINTER	PRINTER	PRINTER
SNAP	NAS	DISK-NAS	NAS	NETWORK ATTACHED STORAGE
ANDERSEN	MAC-PAC	MANUFACTURER	IND-SPECIFIC	MANUFACTURING
XEROX	4090	PRODUCTION	PRODUCTION	PRODUCTION PRINTER
KAPTECH	VOICEOVERIP	VOICEOVERIP	VOICEOVERIP	VOICE OVER INTERNET
IBM	X-232	XSERIES-2XX	XSERIES	SERVER
NEOWARE	THIN-CLIENT	THIN-CLIENT	THIN-CLIENT	THINCLIENT-WBT-NC-XTERMINAL
TELECOM-ITA	VPN	VPN	VPN	VIRTUAL PRIVATE NETWORK
OUTPUT	LASER-B/W	LASER-B/W	LASER	DESKTOP LASER PRINTER
HP	NW8240	NW	WORKSTATION	HIGH PERFORMANCE WORKSTATION
COREL	WP-SUITE7	SUITES	OFFICE	SUITES
TREANGELI	INET-ACCESS	 	 	INTERNET ACCESS PROVIDER
IMSI	TURBOCAD	CAD/CAM	WORKSTATION	CAD/CAM
OKI	LASER-B/W	LASER-B/W	LASER	DESKTOP LASER PRINTER
MICROSOFT	GRTPLAIN-FIN	ACCOUNTING	ENTPRISE-APP	ACCOUNTING
ITCDELTACOM	T3	T3	T3	T3 LINE
VERIZON	VPN	VPN	VPN	VIRTUAL PRIVATE NETWORK
TELEGLOBE	INET-ACCESS	 	 	INTERNET ACCESS PROVIDER
ICG	T1	T1	T1	T1 LINE
LANIER	COPIER-COLOR	COPIER-COLOR	COPIER	OFFICE COPIER
TELVIA	INET-ACCESS	 	 	INTERNET ACCESS PROVIDER
ACCESS	FINANCIALS	ACCOUNTING	ENTPRISE-APP	ACCOUNTING
SUN	ENTPR-250	ENTERPRISE	ENTERPRISE	SERVER
KEY-SOFT	RESQ	DBMS	DBMS-BI	DATABASE MANAGEMENT
