FLEXI-INTL	FINANCIALS	ACCOUNTING	ENTPRISE-APP	ACCOUNTING
CONCURRENT	DISK	DISK-DRIVE	DISK	DISK DRIVE
SET	PRINTER	PRINTER	PRINTER	PRINTER
Veeva Sys	Veeva Vault	DOC-MGMT	WORKFLOW	DOCUMENT MANAGEMENT
INTERCONECT	INET-ACCESS	 	 	INTERNET ACCESS PROVIDER
VERIZON	IDS	INTRSN-DECT	SECURITY-MGT	INTRUSION DETECTION SOFTWARE
SPIDER	ROUTER	ROUTER	ROUTER	ROUTER
MAN-OBJECTS	EAI	EAI	WORKFLOW	ENTERPRISE APPL INTEGRATION
Microsoft	VsSourceSafe	SOFT-CONFIG	APPL-MGMT	SOFTWARE CONFIGURATION MGMT
INTER-TEL	KEY-SYSTEM	KEY-SYSTEM	KEY-SYSTEM	KEY/NON-PBX SYSTEM
CORTELCO	PBX-EXT	 	 	PLANNED PBX EXTENSIONS
NCR	6470	PRODUCTION	PRODUCTION	PRODUCTION PRINTER
IBM	IBM Tealeaf	SAAS-CRM	CLOUD-CMPTNG	CRM AS A SERVICE
UNISYS	DEV-TOOL	DEV-TOOL	APPL-MGMT	APPL DEVELOPMENT TOOLS
MICROAGE	PURCH-SOURCE	 	 	MICROAGE
INFOR	CRM	CRM/SFA	ENTPRISE-APP	CUSTOMER/SALESFORCE MGMT
Schlumbergr	GeoFrame	PUBLISHING	ENTPRISE-APP	DESIGN & PUBLISHING SOFTWARE
AT&T	DESKTOP	DESKTOP	PC	PERSONAL DESKTOP COMPUTER
GPS	UPS	 	 	POWER SYSTEM
SILVERSERVE	INET-ACCESS	 	 	INTERNET ACCESS PROVIDER
CLEARPATH	MPLS	MPLS	MPLS	MULTIPROTCOL LABEL SWITCHING
EMC	Symmetrix	DISK-NAS	NAS	NETWORK ATTACHED STORAGE
ProgressSw	Apama	BI	DBMS-BI	BUSINESS INTELLIGENCE
IBM	RACF	ACCESS-MGMT	SECURITY-MGT	ACCESS MANAGEMENT
MICROSOFT	MAIL	GROUPWARE	OFFICE	GROUPWARE SOFTWARE
NEXT	INKJET	INKJET	INKJET	INK JET PRINTER
LOTUS	DOMINO-GO	APP-SERVER	WORKFLOW	APPLICATION SERVER SOFTWARE
ANSYS	HFSS	MANUFACTURER	IND-SPECIFIC	MANUFACTURING
ORACLE	APP-SERVER	APP-SERVER	WORKFLOW	APPLICATION SERVER SOFTWARE
Oracle	Solaris9	UNIX	UNIX	OPERATING SYSTEM
EMC	homebase	STORAGE-MGMT	STORAGE-MGMT	STORAGE MANAGEMENT
TELCO	MAINT	MAINT	MAINT	MAINTENANCE VENDOR
EPICOR	PLATINUM-HR	HUMAN-RES	ENTPRISE-APP	HUMAN RESOURCES MANAGEMENT
CABLE&WIRE	VOICEPROVIDE	LONG-DIST	LONG-DIST	LONG DISTANCE CARRIER
VIGNETTE	FRONTOFFICE	CRM/SFA	ENTPRISE-APP	CUSTOMER/SALESFORCE MGMT
IBM	SAN	SAN	SAN	STORAGE AREA NETWORK
