"CLASS","SUBCLASS","MANUF"
"Dig","Onlin","Flite"
"Dig","Onlin","Innovid"
"Dig","Onlin","Invodo"
"Dig","Onlin","Media.net"
"Dig","Onlin","Moat"
"Dig","Onlin","Oracle ; Da"
"Dig","Onlin","Perfect Mar"
"Dig","Onlin","SkimLinks"
"Dig","Onlin","Viglink"
"Dig","Onlin",NULL
"Dig","onlin","LiveIntent"
"Dig","onlin","Rubicon Pro"
"Dig","onlin","SiteScout"
"Dig","Stora","Adform"
"Dig","Web T","Chango"
"Dig","Web T","Chitika  In"
"Dig","Web T","eXelate  A"
"Dig","Web T","iCrossing"
"Dig","Web T","Specific Me"
"Dig","Web T","Videology"
"E-C","BI","ClickFunnel"
"E-C","BI","eTracker"
"E-C","BI","Evergage"
"E-C","BI","Inspectlet"
"E-C","BI","Klaviyo"
"E-C","BI","Lucky Orang"
"E-C","BI","MouseFlow"
"E-C","BI","Parse.ly"
"E-C","BI","Totango"
"E-C","BI",NULL
"E-C","Comme","BRAINTREE"
"E-C","Comme","Influenster"
"E-C","Comme","Pixlee"
"E-C","Comme","Punchtab"
"E-C","Comme","SeeWhy"
"E-C","Comme","SLI Systems"
"E-C","Comme","Trustpilot"
"E-C","Comme","TurnTo"
"ERP","App D","Intuit Payr"
"ERP","App D","IQMS"
"ERP","App D","Junxure"
"ERP","App D","WAVESET"
"ERP","Colla","Paymetric"
"ERP","Comme","QuickBooks"
"ERP","Comme","Unanet"
"ERP","eBusi","abas ERP"
"ERP","ECOMM","Dynamicweb"
"ERP","Finan","Concur"
"ERP","Web T","Amadeus"
"ERP","Web T","Chrome Rive"
"HOS","HANDO","APPLE"
"HOS","HANDO","GOOGLE"
"HOS","HANDO","LINUX"
"HOS","HANDO","QUALCOMM"
"HOS","HANDO","RIM"
"Hos","adver","Endurance I"
"Hos","adver","Imperva Inc"
"Hos","Cloud","Codero Host"
"Hos","Cloud","cogecopeer1"
"Hos","Cloud","Hostway Ser"
"Hos","Cloud","iland Cloud"
"Hos","Cloud","MaxCDN"
"Hos","Cloud","Microsoft"
"Hos","Cloud","SingleHop"
"Hos","Email","MailJet"
"Hos","Email","Postmark"
"Hos","IT In","CCBill"
"Hos","IT In","Hostmonster"
"Hos","IT In","InMotion Ho"
"Hos","IT In","Kenexa"
"Hos","IT In","Klarna"
"Hos","IT In","Liquid Web"
"Hos","IT In","MonsterComm"
"Hos","IT In","Moonfruit"
"Hos","IT In","Strato"
"Hos","IT In","VERIZON"
"Hos","Web T","BigCommerce"
"Hos","Web T","CDNetworks"
"Hos","Web T","FoxyCart.co"
"Hos","Web T","GODADDY"
"Hos","Web T","Jimdo"
"Hos","Web T","Strikingly"
"Hos","Web T","Venda"
"HR","HR Sy","TimeClock P"
"HR","HR Sy","Workable"
"HST","Web T","BlueHost"
"IAP","INETP","INTERCOM"
"IT","App D","Kaseya"
"IT","Archi","Qualys"
"IT","Archi","Trend-Micro"
"IT","BI","Sift Scienc"
"IT","Cloud","RSASECURITY"
"IT","Data","Acronis"
"IT","Data","Hansoft"
"IT","Data","Kenexa"
"IT","Netwo","Veritas"
"IT","Web T","MaaS360 by"
"LDC","PBXLD","PAETEC"
"LSW","LANSW","3COM"
"LSW","LANSW","ALLIED-TEL"
"LSW","LANSW","AVAYA"
"LSW","LANSW","Avocent"
"LSW","LANSW","BELKIN"
"LSW","LANSW","BROCADE"
"LSW","LANSW","Brocade"
"LSW","LANSW","CISCO"
"LSW","LANSW","Cisco"
"LSW","LANSW","DELL"
"LSW","LANSW","D-LINK"
"LSW","LANSW","HP"
"LSW","LANSW","HUAWEI"
"LSW","LANSW","INTEL"
"LSW","LANSW","MOTOROLA"
"LSW","LANSW","NETSCALER"
"NET","NETSV","AT&T"
"NET","NETSV","BELL-CANADA"
"NET","NETSV","NORTEL"
"NET","NETSV","OTHER"
"NET","NETSV","TELUS"
"New",NULL,"17hats"
"New",NULL,"3CX"
"New",NULL,"AdLuge"
"New",NULL,"Adobe"
"New",NULL,"Aerohive"
"New",NULL,"AffectLayer"
"New",NULL,"Agile CRM I"
"New",NULL,"Akamai"
"New",NULL,"Alfresco"
"New",NULL,"Alibaba"
"New",NULL,"Alt-N Techn"
